,id,original,translation
34,63661-1502809440804-86815," Take time to pause, and by the next new moon—   The sealing day betwixt my love and me   For everlasting bond of fellowship— ",Take some time to consider. By the next new moon—the day when my beloved and I will be joined in marriage
35,63661-1502809448854-22932," Upon that day either prepare to die   For disobedience to your father’s will,   Or else to wed Demetrius, as he would, ","—be ready either to die for disobeying your father's desires, to marry Demetrius, as your father wishes."
36,63661-1502809454191-59514, Or on Diana’s altar to protest   For aye austerity and single life. ,"  Or else, you can go to the temple of Diana and vow to spend the rest of your life as a virgin priestess."
37,8fcdab50-d9f8-5d73-8c61-bdfded7dd462," Relent, sweet Hermia And, Lysander, yield Thy crazèd title to my certain right. ","Give in, sweet Hermia. And, Lysander, give up your crazy claim to possession of what is mine."
38,fb24fbda-4f10-b572-3da7-69c7f33fe785," You have her father’s love, Demetrius. Let me have Hermia’s. Do you marry him. ","Her father loves you, Demetrius. Let me have Hermia, and you can marry him."
39,63664-1502809409779-79094," Scornful Lysander, true, he hath my love, ","Rude Lysander, it's true, I do love him."
40,63664-1502809417451-83714, And what is mine my love shall render him. ," And because I love him, I will give to him what is mine."
41,63664-1502809422491-85699," And she is mine, and all my right of her   I do estate unto Demetrius. "," Hermia is  mine, and I’m giving my rights to her to Demetrius."
42,63665-1502809371735-73234," I am, my lord, as well derived as he,   As well possessed. My love is more than his. "," My lord, I’m as noble as Demetrius, and as rich. I love Hermia more than he does."
43,63665-1502809380172-19789," My fortunes every way as fairly ranked,   (If not with vantage) as Demetrius'.   And—which is more than all these boasts can be—   I am beloved of beauteous Hermia. "," My prospects are in every way as good as Demetrius', if not better. And, more importantly than all of those things I just boasted about, beautiful Hermia loves me."
44,63665-1502809395248-60644," Why should not I then prosecute my right?   Demetrius, I’ll avouch it to his head,   Made love to Nedar’s daughter, Helena,   And won her soul. "," Why shouldn’t I be able to pursue my rights marry her? Demetrius—and I’ll declare this to his face—wooed Nedar’s daughter, Helena, and won her love."
45,63665-1502809401732-3641," And she, sweet lady, dotes,   Devoutly dotes, dotes in idolatry   Upon this spotted and inconstant man. "," Now Helena, that sweet lady, obsesses, deeply obsesses, obsesses over this stained and unfaithful man, idolizing him as if he were a god."
46,63666-1502809324981-62624," I must confess that I have heard so much   And with Demetrius thought to have spoke thereof, ","I must admit I’ve heard that too, and meant to speak about it with Demetrius."
47,63666-1502809335763-57862," But being overfull of self-affairs,   My mind did lose it. But, Demetrius, come.   And come, Egeus. You shall go with me.   I have some private schooling for you both. "," But because I was too busy with my own concerns, I forget about it. But now, Demetrius and Egeus, come with me. I have some advice for you both that I want to give in private."
48,63666-1502809348915-17303," For you, fair Hermia, look you arm yourself   To fit your fancies to your father’s will,   Or else the law of Athens yields you up   (Which by no means we may extenuate)   To death, or to a vow of single life. "," As for you, beautiful Hermia, prepare yourself to shape your desires to match what your father wants, or else the law of Athens—which I can’t modify or lessen in any way—demands that you either die or take a vow of chastity and never marry."
49,63666-1502809358377-86275," Come, my Hippolyta. What cheer, my love?   Demetrius and Egeus, go along.   I must employ you in some business   Against our nuptial and confer with you   Of something nearly that concerns yourselves. "," Come along, Hippolyta. How are you, my love? Demetrius and Egeus, come with us. I have some work I need you to do regarding our wedding, and there's something that concerns the two of you that I want to discuss."
50,64b15a7e-076c-2cbe-605f-715253d69477, With duty and desire we follow you. ,"We follow you because it is our duty, and because we want to."
51,ae6b4b00-8161-f561-623b-489fb6a7a646," How now, my love? Why is your cheek so pale? How chance the roses there do fade so fast? ","How are you, my love? Why are your cheeks so pale? How is it that the roses in them have faded so quickly?"
52,b1f56942-fb15-9c5b-4030-97cdfc70261c," Belike for want of rain, which I could well Beteem them from the tempest of my eyes. ","Probably because they lacked rain, which I could easily give them from the tears in my eyes."
53,63671-1502809306921-66119," Ay me! For aught that I could ever read,   Could ever hear by tale or history,   The course of true love never did run smooth. ","Oh dear! In every book that I have ever read, whether  a story or a history, the path of true love is never smooth or easy."
54,63671-1502809311503-47409, But either it was different in blood— , Perhaps the lovers are of different social classes—
55,ab479618-9ed3-be7d-a203-2d52d7fb90eb, O cross! Too high to be enthralled to low. ,"Oh, what an obstacle! Being a person of high rank in love with someone of low stature."
56,f05b99d6-b791-df1a-8a23-f91ad563e11d, Or else misgraffèd in respect of years— ,Or else they were very different ages—
57,19e970d9-4722-ba68-05ad-a31585df9a82, O spite! Too old to be engaged to young. ,"Oh, vicious fate! Being too old to marry someone young."
58,27622166-9c8b-ce23-c323-b5a373c40653, Or else it stood upon the choice of friends— ,Or else their ability to choose depended on the wishes of their relatives—
59,675daccf-ff38-d72a-7090-c6f3ff572d24," O hell, to choose love by another’s eyes! ","Oh, what a hell, to have someone else's wishes determine who you can love!"
60,63677-1502809194789-70069," Or, if there were a sympathy in choice,   War, death, or sickness did lay siege to it,   Making it momentary as a sound,   Swift as a shadow, short as any dream, ","Or—even if two people loved each other and could choose to marry—war, death, or sickness might intervene, so that their love lasts no longer than a sound, is as fleeting as a shadow, short as a dream."
61,63677-1502809203186-88204," Brief as the lightning in the collied night;   That, in a spleen, unfolds both heaven and Earth,   And ere a man hath power to say “Behold!” "," Or it's as brief as a bolt of lightning that—like a flash of passion—lights up heaven and Earth but then disappears into darkness before you can even say ""Look!"""
62,63677-1502809206959-83539, The jaws of darkness do devour it up.   So quick bright things come to confusion. , That’s how bright things that are full of life are destroyed.
63,63678-1502809229536-71341," If then true lovers have been ever crossed,   It stands as an edict in destiny. ","If true lovers are always thwarted, then it proves that destiny is saying that our thwarted love must be true."
64,63678-1502809240344-89944," Then let us teach our trial patience, ", So let’s make sure to approach our problem with patience.
65,63678-1502809245592-18866," Because it is a customary cross,   As due to love as thoughts and dreams and sighs,   Wishes and tears, poor fancy’s followers. "," Since all true love must be thwarted, then being thwarted is as much a part of love as dreams, sighs, wishes, and tears are."
66,63679-1502809256736-51045, A good persuasion. ,That's the right way to think about it.
67,63679-1502809266776-46541," Therefore, hear me, Hermia.   I have a widow aunt, a dowager   Of great revenue, and she hath no child. "," So, listen, Hermia. I have an aunt who is a widow, who has property and great wealth, and doesn’t have any children."
68,63679-1502809277358-86311," From Athens is her house remote seven leagues,   And she respects me as her only son.   There, gentle Hermia, may I marry thee.   And to that place the sharp Athenian law   Cannot pursue us. "," Her house is about twenty miles from Athens, and she thinks of me as a son.  Dear Hermia, I could marry you there, where the harsh laws of Athens can’t follow us."
69,63679-1502809288065-16535," If thou lovest me then,   Steal forth thy father’s house tomorrow night. "," So if you love me, sneak out of your father’s house tomorrow night."
70,63679-1502809295601-6016," And in the wood, a league without the town—   Where I did meet thee once with Helena   To do observance to a morn of May—   There will I stay for thee. "," I will wait for you in the woods, three miles out of town, at the spot where I once met you with Helena to celebrate May Day."
71,63680-1502808906321-45239," My good Lysander!   I swear to thee by Cupid’s strongest bow,   By his best arrow with the golden head,   By the simplicity of Venus' doves, ","My noble Lysander! I swear to you—by Cupid's strongest bow, by his best gold-tipped arrow; by the innocent doves that drive  Venus ' chariot;"
72,63680-1502808916261-19081," By that which knitteth souls and prospers loves,   And by that fire which burned the Carthage queen   When the false Troyan under sail was seen, ", by everything that binds souls together and makes love grow; by the bonfire upon which Queen Dido of Carthage burned herself to death when she saw that her lover Aeneas had secretly sailed away from her;
73,63680-1502808924278-58029," By all the vows that ever men have broke   (In number more than ever women spoke), ", and by all the promises that men have ever broken (which outnumber all the promises women have ever made).
74,63680-1502808929269-76038," In that same place thou hast appointed me,   Tomorrow truly will I meet with thee. ", I will meet you tomorrow at the spot you have asked me to go to.
75,fb441522-89a4-0f21-eb21-022a825d1e50," Keep promise, love. Look, here comes Helena. ","Keep your promise, my love. Look, here comes Helena."
76,b414fd79-3166-bf88-885f-cd91fc620593," Godspeed, fair Helena! Whither away? ","Welcome, beautiful Helena! Where are you going?"
77,63684-1502808844324-22386, Call you me “fair?” That “fair” again unsay.   Demetrius loves your fair. O happy fair! ,"Did you call me “beautiful?” Take it back. Your beauty is what Demetrius loves. Oh, lucky beauty!"
78,63684-1502808854548-37844," Your eyes are lodestars, and your tongue’s sweet air   More tunable than lark to shepherd’s ear   When wheat is green, when hawthorn buds appear. "," Your eyes are like stars, and your sweet voice is more melodic than a lark’s song is to a shepherd in the springtime, when the wheat is green and hawthorn buds appear."
79,63684-1502808864314-91409," Sickness is catching. Oh, were favor so,   Yours would I catch, fair Hermia, ere I go. "," Sickness is contagious. Oh, I wish beauty was also. I would catch yours, beautiful Hermia, before I left."
80,63684-1502808873758-68824," My ear should catch your voice. My eye, your eye.   My tongue should catch your tongue’s sweet melody.   Were the world mine, Demetrius being bated,   The rest I’d give to be to you translated. "," My ear would be infected by your voice, my eye by your eye, and my tongue would catch your tongue's musical voice. If I owned the world, I’d give it all up—with the exception of Demetrius—to be transformed into you."
81,63684-1502808879986-75790," O, teach me how you look and with what art   You sway the motion of Demetrius' heart. "," Oh, teach me how you look at Demetrius, and the tricks you use to make him fall in love with you."
82,818c12c9-4c3b-68a9-525d-337bf1e75848," I frown upon him, yet he loves me still. ","I frown at him, but he still loves me."
83,193dc623-8295-052b-6632-0083cd87a132," Oh, that your frowns would teach my smiles such skill! ","Oh, if only your frowns could teach my smiles to have that same ability!"
84,d228811b-b4de-94a8-714f-2e79f9ad5e87," I give him curses, yet he gives me love. ","I curse him, but he responds with love."
85,04f9f180-ace3-226b-869b-ae65a8ba0d37," Oh, that my prayers could such affection move! ","Oh, if only my prayers could arouse that kind of affection!"
86,bcad7db5-dcb8-bc0d-7216-9becd7247d7a," The more I hate, the more he follows me. ","The more I hate him, the more he follows me."
87,06773773-731b-2870-87ce-d391e01547fe," The more I love, the more he hateth me. ","The more I love him, the more he hates me."
88,45e3bd12-15f1-33c0-89e3-647416fce184," His folly, Helena, is no fault of mine. ","Helena, his foolishness is not my fault."
89,40c8efee-14d9-78ea-9ec0-9c9179780a71," None, but your beauty. Would that fault were mine! ",It’s only your beauty’s fault. I wish I had that fault!
90,63693-1502808817957-25275, Take comfort. He no more shall see my face.   Lysander and myself will fly this place. ,Don’t worry. He'll never see my face again. Lysander and I are running away from here.
91,63693-1502808826794-3101, Before the time I did Lysander see   Seemed Athens as a paradise to me. ," Before the first time I saw Lysander, Athens seemed like paradise to me."
92,63693-1502808832935-36790," Oh, then, what graces in my love do dwell,   That he hath turned a heaven unto a hell! "," But Lysander is so beautiful and graceful that, by comparison, he’s turned what I thought was heaven into hell!"
93,63694-1502808788173-41432," Helen, to you our minds we will unfold. ","Helena, we’ll let you in on our plan."
94,63694-1502808804238-27734," Tomorrow night when Phoebe doth behold   Her silver visage in the watery glass,   Decking with liquid pearl the bladed grass ", Tomorrow night—when  Phoebe  is reflected on the water and decorates the grass with beads of pearly light
95,63694-1502808809473-26688," (A time that lovers' flights doth still conceal),   Through Athens' gates have we devised to steal. ", (the time of night that always hides lovers on the run—we plan to sneak out through the gates of Athens.
96,63695-1502808762067-89660," And in the wood where often you and I   Upon faint primrose beds were wont to lie,   Emptying our bosoms of their counsel sweet,   There my Lysander and myself shall meet. ","  In the woods where you and I used to laze around on the pale primroses, sharing all of the sweet secrets of our hearts—that’s where Lysander and I will meet."
97,63695-1502808773572-73342," And thence from Athens turn away our eyes   To seek new friends and stranger companies.   Farewell, sweet playfellow. Pray thou for us.   And good luck grant thee thy Demetrius! "," Then we’ll turn away from Athens and  look for new friends and the company of strangers. Goodbye, sweet friend of my youth. Pray for us, and may fate give you Demetrius!"
98,63695-1502808780216-3826," Keep word, Lysander. We must starve our sight   From lovers' food till morrow deep midnight. "," Keep your promise, Lysander. We must refrain from the pleasure of seeing each other until tomorrow at midnight."
99,6d7144f2-1f5a-7788-56f9-4723cd345b51," I will, my Hermia. ","I will, my Hermia."
100,63697-1502808679983-70374, How happy some o'er other some can be!   Through Athens I am thought as fair as she.   But what of that? Demetrius thinks not so. ,"How happy some people can be compared to others!  Throughout Athens, people think I'm as beautiful as Hermia. But what does that matter? Demetrius doesn't think so."
101,63697-1502808690581-18702," He will not know what all but he do know.   And as he errs, doting on Hermia's eyes,   So I, admiring of his qualities. "," The only opinion he has is his own. And as he wanders, idolizing Hermia's eyes, likewise I admire his beauty."
102,63697-1502808700391-69198," Things base and vile, holding no quantity,   Love can transpose to form and dignity.   Love looks not with the eyes but with the mind.   And therefore is winged Cupid painted blind. "," Love can transform crude and horrible things of no worth into beautiful and dignified things. Love doesn't look with eyes, but with the mind. That's why they paint winged  Cupid  blind."
103,63697-1502808710433-79330," Nor hath Love's mind of any judgment taste—   Wings and no eyes figure unheedy haste.   And therefore is Love said to be a child,   Because in choice he is so oft beguiled. ","And Love doesn't have good judgment or taste—wings and blindness make for undue speed in falling in love.  Thus, Love is thought of as a child, because he often makes the wrong choice."
104,63697-1502808719481-41332," As waggish boys in game themselves forswear,   So the boy Love is perjured everywhere. ","Just like mischievous boys who go back on their word as they play games, so too does the boy Love perjure himself everywhere."
105,63697-1502808730565-60997," For ere Demetrius looked on Hermia's eyne,   He hailed down oaths that he was only mine.   And when this hail some heat from Hermia felt,   So he dissolved, and showers of oaths did melt. ","Because before Demetrius saw Helena's eyes, he swore that he belonged to only me. And when he felt attracted to Hermia, he dissolved. His promises melted down like hail in the heat."
106,63697-1502808743511-30600," I will go tell him of fair Hermia's flight.   Then to the wood will he tomorrow night   Pursue her. And for this intelligence   If I have thanks, it is a dear expense. "," I will go and tell him that beautiful Hermia is running away. Then he'll got to the forest tomorrow night to pursue her. And if he thanks me for this piece of information, it will all be worth it."
107,63697-1502808748532-94194," But herein mean I to enrich my pain,   To have his sight thither and back again. "," But in this way I plan to make my pain worse, by seeing him go there and back again."
108,0c0aae4b-02a2-8b10-2710-614318fc8f70, Is all our company here? ,Are all of us here?
109,5119ba03-0028-9f1b-3bfd-d1b0b4a58479," You were best to call them generally, man by man,  according to the scrip. ",@
110,c6012bf1-d0ab-7fcb-f081-424e39969fc5," Here is the scroll of every man’s name which is thought fit, through all Athens, to play in our interlude  before the duke and the duchess, on his wedding day at  night. ",Here is the list of the names of every man in Athens who we consider good enough to act in the short play we’re going to perform for the duke and duchess on the night of their wedding day.
111,16aceb83-ed9d-c67a-89bf-f78ea994cba1," First, good Peter Quince, say what the play treats on,  then read the names of the actors, and so grow to a  point. ","First, Peter Quince, tell us what the play is about. Then read the names of the actors, and in that way build up to a conclusion."
112,37f128aa-4de1-fff5-5e4f-6590102e5556," Marry, our play i s The most lamentable comedy and most cruel death of Pyramus and Thisbe. ","Indeed, I will. Our play is called The Very Tragic Comedy of the Awful Deaths of Pyramus and Thisbe."
113,e407e5e0-143f-7680-1536-72678e06221c," A very good piece of work, I assure you, and a merry.  Now, good Peter Quince, call forth your actors by the  scroll. Masters, spread yourselves. ","Believe me, it’s a great piece of work, and very funny, too. Now, Peter Quince, call out the actors on your list. Men, gather around."
114,e116e127-3e9c-ede9-d8d8-fa668c2353a8," Answer as I call you. Nick Bottom, the weaver? ","Answer when I call your name. Nick Bottom, the weaver?"
115,1fa98704-5d66-5a92-3ebf-e25bbb72dae3, Ready. Name what part I am for and proceed. ,"Here. Say which part I’m going to play, and then continue."
116,582a5214-cc9a-6d6a-fa43-d154ac3c83aa," You, Nick Bottom, are set down for Pyramus. ","Nick Bottom, you will play the role of Pyramus."
117,a5aab0f6-5757-ead6-7676-f07f1a7a446b, What is Pyramus? A lover or a tyrant? ,What’s Pyramus? A lover or a tyrant?
118,35720321-079c-7e83-cdc5-7ed8df4bd2a2," A lover that kills himself, most gallant, for love. ","A lover who, very nobly, kills himself for love."
119,63712-1502819423549-85608," That will ask some tears in the true performing of it.  If I do it, let the audience look to their eyes. I will  move storms. ","That role will require some tears from me if I am to perform it well. If I perform it, the audience better check their own eyes. I’ll make tears fall like rainstorms."
120,63712-1502819436505-50720, I will condole in some measure. ," I’ll make them weep.  I'll express grief—just the right amount of grief, of course."
121,63712-1502819446513-58172," To the  rest. Yet my chief humor is for a tyrant. I could play  Ercles rarely, or a part to tear a cat in to make all  split. "," Okay, now list the other actors.   But, actually, my first choice would be to play a tyrant. I'd make a wonderful  Hercules , or any other part that requires ranting and raving that will bring the house down."
122,63712-1502819453314-51064, The raging rocks   And shivering shocks   Shall break the locks   Of prison gates. ,The raging rocks And shivering shocks Will break the locks Of prison gates.
123,63712-1502819458268-72743, And Phoebus' car   Shall shine from far   And make and mar   The foolish Fates. ,And  Phoebus ' cart Will shine from afar And make and mar The foolish Fates.
124,63712-1502819464409-52132," This was lofty! Now name the rest of the players. This  is Ercles' vein, a tyrant’s vein. A lover is more  condoling. ","That was high art! Now say who the other actors are. That speech was in the style of Hercules, the tyrant's style. A lover would be more weepy."
125,b17deab0-ccde-1571-ac25-ab5ac005988e," Francis Flute, the bellows-mender? ","Francis Flute, the bellows-repairman?"
126,f683093c-1ca0-994b-20d9-3d686ebdadd1," Here, Peter Quince. ","Here, Peter Quince."
127,7749b10c-fb38-e9b4-3572-90cb0eb1e464," Flute, you must take Thisbe on you. ","Flute, you’ll play the part of Thisbe."
128,b8b316d1-23c5-1431-82d7-62a8384c4b75, What is Thisbe? A wandering knight? ,Who’s Thisbe? A knight on a quest?
129,57cd872d-77e6-7a04-381c-7b8ecb8f2b22, It is the lady that Pyramus must love. ,Thisbe is the lady whom Pyramus loves.
130,d427439f-182b-b260-b6de-ef5858fe7d32," Nay, faith, let me not play a woman. I have a beard  coming. ","No, really, please don’t make me play a woman. I’m growing a beard."
131,7e856544-51e9-04c6-1493-b6586445d876," That’s all one. You shall play it in a mask, and you  may speak as small as you will. ","That makes no difference. You’ll be wearing a mask, and you can make your voice as high as you want."
132,4dbf8236-3446-0928-9789-162cbef559c0," An I may hide my face, let me play Thisbe too! I’ll  speak in a monstrous little voice: “Thisne, Thisne!”  “Ah, Pyramus, my lover dear, thy Thisbe dear and lady  dear!” ","If I can wear a mask, let me play Thisbe too! I’ll speak in an amazing high-pitched voice. Pyramus will say: “Thisne, Thisne!” Then I'll say: “Ah, Pyramus, my dear love! I’m your dear Thisbe—your dear lady!”"
133,8079b1c7-0991-0965-57ab-10fda05f03db," No, no. You must play Pyramus. And Flute, you Thisbe. ","No, no. You’re playing Pyramus. And Flute, you’re playing Thisbe."
134,a48b3fd9-9fbc-1d77-99e5-fe31896e3ac5," Well, proceed. ","Well, all right. Continue."
135,462c06cd-3c08-f2ef-4d2a-bb1fabf7efe9," Robin Starveling, the tailor? ","Robin Starveling, the tailor?"
136,c542c17d-0ec1-4218-0ca2-405df3569fe1," Here, Peter Quince. ","Here, Peter Quince."
137,169374f6-d196-be4a-52bc-11e0a4003f05," Robin Starveling, you must play Thisbe’s mother. Tom  Snout, the tinker? ","Robin Starveling, you’re going to play Thisbe’s mother. Tom Snout, the repairman?"
138,08745d38-0c58-f7af-f017-ec8f83ea20d6," Here, Peter Quince. ","Here, Peter Quince."
139,d26bb76e-ed57-0303-ed3c-ee73cab548e1," You, Pyramus' father. Myself, Thisbe’s father. Snug the joiner, you, the lion’s part. And I hope here is a play fitted. ","You’ll play Pyramus’ father. As for myself, I’ll play Thisbe’s father. Snug, the cabinetmaker, you’ll play the part of the lion. Now, I hope the play has been well cast."
140,049f053d-cd0d-8bf1-52fb-a40c7bdc764f," Have you the lion’s part written? Pray you, if it be,  give it me, for I am slow of study. ","Do you have the lion’s part written down? If you do, please give it to me, because I'm a slow learner."
141,b04ea142-66dd-2ae9-b3ce-3a5c9aad8257," You may do it extempore, for it is nothing but roaring. ","You can improvise the whole thing, because it's just roaring."
142,63730-1503327902742-75603," Let me play the lion too. I will roar, that I will do  any man’s heart good to hear me. ","Let me play the lion, too! I’ll roar so well that it’ll delight anyone who hears me. "
143,63730-1503327911801-11141," I will roar, that I  will make the duke say, “Let him roar again. Let him  roar again.” ","I’ll roar so well that the duke will say, “Let him roar again. Let him roar again.”"
144,63731-1503327923781-18809," An you should do it too terribly, you would fright the  duchess and the ladies, that they would shriek. ","If you roar too terrifyingly, you’ll scare the duchess and the other ladies, and make them scream. "
145,63731-1503327930458-64467, And that were enough to hang us all. ,And that would be enough to get us all hanged.
146,62c19ff0-e7c1-2755-a89b-09c13eb82620," That would hang us, every mother’s son. ",They'd hang every single one of us.
147,63733-1502819485226-75780," grant you, friends, if you should fright the ladies  out of their wits, they would have no more discretion  but to hang us. ","I agree, my friends, that if you scare the ladies out of their wits, they’d have no choice but to hang us."
148,63733-1502819491211-14890, But I will aggravate my voice so that I  will roar you as gently as any sucking dove. I will roar you an ’twere any nightingale. , But I’ll  aggravate  my voice so that I’ll roar as gently as a baby dove. I’ll roar like a melodic nightingale.
149,63734-1502819506526-41996," You can play no part but Pyramus. For Pyramus is a  sweet-faced man, a proper man as one shall see in a  summer’s day, a most lovely, gentlemanlike man. ","You can’t play any part but Pyramus. Because Pyramus is a good-looking man, the most handsome man you could find on a summer’s day, the most lovely gentlemanly man."
150,63734-1502819512387-17496,   Therefore you must needs play Pyramus. , Therefore you must play Pyramus.
151,10a66534-6fe0-f666-d739-6caa71a5dc5d," Well, I will undertake it. What beard were I best to  play it in? ","Very well, I’ll do it. What would be the best beard for me to wear for the part?"
152,ad07109e-2e36-0345-9517-2811d4b99c8e," Why, what you will. ","Why, whichever one you want to wear."
153,2332b081-c867-f422-9fdf-a8a8752c3d55," I will discharge it in either your straw-color beard,  your orange-tawny beard, your purple-in-grain beard, or  your French crown-color beard, your perfect yellow. ",@
